# Undirected graph (each unordered pair of nodes is saved once): graphs/2017-5posts--1000PostCap-_without_trolls.txt
# Nodes: 1067467 Edges: 123
# NodeId	NodeId
69	184
69	612
69	1431
69	2557
69	4856
69	6418
69	6488
69	9860
69	21991
69	29840
69	65272
69	76627
69	78596
69	317307
184	612
184	2557
184	6418
184	6804
184	7931
184	8845
184	9860
184	26496
184	29840
184	46769
184	56986
184	65175
184	65726
184	70029
184	78596
184	129293
184	188617
184	317307
214	578
214	26264
214	29840
214	67350
214	76627
214	587523
215	4856
215	68960
612	4856
612	5199
612	7748
612	9860
612	65726
612	129293
612	255681
1431	4856
1431	6418
1431	26264
1431	29840
1431	78596
1431	317307
2557	4856
2557	6418
2557	7931
2557	8845
2557	9860
2557	26496
2557	46769
2557	65272
2557	68960
2557	70029
2557	78596
2557	81034
2557	188617
2557	317307
4856	6418
4856	6488
4856	9860
4856	29840
4856	67074
4856	68960
4856	76627
4856	78596
4856	81034
4856	317307
5199	6418
6418	9860
6418	26264
6418	29840
6418	76627
6418	78596
6418	98543
6418	317307
7931	65726
7931	78596
7931	81034
7931	188617
7931	317307
8845	26496
8845	68960
8845	78596
9860	65726
9860	112689
9860	129293
9860	255681
9860	317307
26264	29840
26264	67350
26264	76627
26264	101220
26496	68960
26496	78596
29840	65726
29840	76627
29840	317307
57460	940404
65726	78596
65726	129293
67350	76627
67350	117558
68960	78596
68960	81034
76627	98543
76627	117558
76627	705175
78596	81034
78596	317307
81034	317307
98543	117558
98543	705175
117558	705175
